PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure2,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR,Grand Total_INR,Year,Main Category,Sub Category
INNSA1,2021-05-14,0301049751,73239990,RS-02 STEEL HAND BLENDER (QTY:9360 PCS USD 0.4527 PER PCS),RS-02,STEEL HAND BLENDER,RS-02,9360,#N/A,#N/A,0.4527,#N/A,561.6,KGS ,620.109188,348253.32,8.295775091,4658.907291,127600.1,628.4049631,2021,Household Steel Items,Other
INNSA1,2021-05-12,0301049751,73239990,FAMILY CLOTH RACK 3 LAYERS 03-027I (MADE UP OF MILD STEEL)(QTY:1824 PCS/ RMB 80.10 PER PCS),,CLOTH RACK 3 LAYERS 03-027I (MADE UP OF MILD STEEL),MADE UP OF MILD STEEL,1824,1824,PCS, ,PCS,10488,KGS ,184.2580206,1932498.12,2.464990242,25852.81766,708067.3,186.7230108,2021,Household Steel Items,Other
INNSA1,2021-05-07,0301049751,73239990,STAINLESS STEEL BOTTLE 750ML SG805 AM-06 (QTY: 6048 NUM USD 1.110 PER NUM),,STEEL BOTTLE 750ML SG805 AM-06,STAINLESS,,#N/A,#N/A,1.110,#N/A,907.2,KGS ,596.8539131,541465.87,7.984667734,7243.690569,198393.1,604.8385809,2021,Household Steel Items,Other
INNSA1,2021-05-07,0301049751,73239990,STAINLESS STEEL COLA BOTTLE 750ML SK750 SL-01 (QTY: 18000 NUM USD 1.245 PER NUM),,STEEL COLA BOTTLE 750ML SK750 SL-01,STAINLESS,,#N/A,#N/A,1.245,#N/A,3600,KGS ,502.0831889,1807499.48,6.716831958,24180.59505,662267.8,508.8000208,2021,Household Steel Items,Other
INNSA1,2021-05-07,0301049751,73239990,STAINLESS STEEL GRATER WITH HANDLE - KL324H-9S (MILD STEEL) (QTY - 58464 PCS/USD 0.67 PER PCS),,STEEL GRATER WITH HANDLE - KL324H-9S (MILD STEEL),MILD STEEL,,#VALUE!,PCS,0.67,PCS,9744,KGS ,322.0466215,3138022.28,4.308316007,41980.23117,1149771.4,326.3549375,2021,Household Steel Items,Other
INNSA1,2021-05-07,0301049751,73239990,STAINLESS STEEL SPORTS BOTTLE 750ML SG-702 SB-01 (QTY: 19404 NUM USD 1.130 PER NUM),,STEEL SPORTS BOTTLE 750ML SG-702 SB-01,STAINLESS,,#N/A,#N/A,1.130,#N/A,3072.3,KGS ,575.6286561,1768503.92,7.700717807,23658.91532,647979.9,583.3293739,2021,Household Steel Items,Other
INNSA1,2021-05-06,0301049751,73239990,STAINLESS STEEL SPORTS BOTTLE 650ML S115 NP-21 (QTY: 7452 NUM USD 1.110 PER NUM),,STEEL SPORTS BOTTLE 650ML S115 NP-21,STAINLESS,,#N/A,#N/A,1.110,#N/A,1324.8,KGS ,516.253276,683932.34,6.779425817,8981.383322,250592.8,523.0327018,2021,Household Steel Items,Other
INNSA1,2021-05-06,0301049751,73239990,STAINLESS STEEL SPORTS BOTTLE 750ML S-308-C6 (QTY: 11772 NUM USD 1.060 PER NUM),,STEEL SPORTS BOTTLE 750ML S-308-C6,STAINLESS,,#N/A,#N/A,1.060,#N/A,2092.8,KGS ,492.9986191,1031747.51,6.474046212,13548.88391,378032.3,499.4726653,2021,Household Steel Items,Other
INNSA1,2021-05-06,0301049751,73239990,STAINLESS STEEL SPORTS BOTTLE KOOU 750ML MP-202 (QTY: 21384 NUM USD 1.142 PER NUM),,STEEL SPORTS BOTTLE KOOU 750ML MP-202,STAINLESS,,#N/A,#N/A,1.142,#N/A,3861,KGS ,522.9649987,2019167.86,6.867564001,26515.66461,739823.2,529.8325627,2021,Household Steel Items,Other
INNSA1,2021-05-06,0301049751,73239990,STAINLESS STEEL SPORTS BOTTLE 750ML SG-702 SB-01 (QTY: 18000 NUM USD 1.130 PER NUM),,STEEL SPORTS BOTTLE 750ML SG-702 SB-01,STAINLESS,,#N/A,#N/A,1.130,#N/A,2850,KGS ,590.0969825,1681776.4,7.749139625,22085.04793,616202.9,597.8461221,2021,Household Steel Items,Other
INNSA1,2021-05-06,0301049751,73239990,STAINLESS STEEL BOTTLE 750ML SG805 AM-06 (QTY: 9180 NUM USD 1.110 PER NUM),,STEEL BOTTLE 750ML SG805 AM-06,STAINLESS,,#N/A,#N/A,1.110,#N/A,1377,KGS ,611.8557298,842525.34,8.034874982,11064.02285,308701.3,619.8906048,2021,Household Steel Items,Other
INNSA1,2021-05-04,0301049751,73239990,STEEL HAND BLENDER RS-02 (QTY:40640 PCS USD 0.4499 PER PCS),,HAND BLENDER RS-02,STEEL,40640,#N/A,#N/A,0.4499,#N/A,2438.4,KGS ,614.2962229,1497899.91,8.066923479,19670.38621,548830.6,622.3631464,2021,Household Steel Items,Other
INNSA1,2021-05-04,0301049751,73239990,STEEL ZHARA NP-003 (QTY:60000 PCS USD 0.4514 PER PCS),,ZHARA NP-003,STEEL,60000,#N/A,#N/A,0.4514,#N/A,5600,KGS ,396.2213036,2218839.3,5.203168793,29137.74524,812982.8,401.4244724,2021,Household Steel Items,Other
INNSA1,2021-05-04,0301049751,73239990,STEEL SALT BOTTLE NP-19 (QTY:23088 PCS USD 0.4930 PER PCS),,SALT BOTTLE NP-19,STEEL,23088,#N/A,#N/A,0.4930,#N/A,3607.5,KGS ,258.4876286,932494.12,3.394453428,12245.49074,341665.8,261.882082,2021,Household Steel Items,Other
INNSA1,2021-05-04,0301049751,73239990,STEEL TEA STRAINER NP-55 (QTY:30240 PCS USD 0.3204 PER PCS),,TEA STRAINER NP-55,STEEL,30240,#N/A,#N/A,0.3204,#N/A,1386,KGS ,572.6961039,793756.8,7.520631699,10423.59554,290832.5,580.2167356,2021,Household Steel Items,Tea Strainer
INNSA1,2021-05-01,0301049751,73231000,STEEL SCRUBBER 6 PCS SET - OKS-4156 (QTY- 98000 PCS/USD 0.275 PER PCS),,SCRUBBER 6 PCS SET - OKS-4156,STEEL,,#VALUE!,PCS,0.275,PCS,8537.8,KGS ,261.4589578,2232284.29,3.433472854,29314.30453,981312.2,264.8924307,2021,Steel Scrubbers,Scrubber
INNSA1,2021-04-28,0301049751,73239990,FAMILY CLOTH RACK 3 LAYERS 03-027I (MADE UP OF MILD STEEL)(QTY:1824 PCS RMB 79.00 PER PCS),,CLOTH RACK 3 LAYERS 03-027I (MADE UP OF MILD STEEL),MADE UP OF MILD STEEL,1824,#N/A,#N/A, ,#N/A,10488,KGS ,183.8361356,1928073.39,2.414131787,25319.41418,706446.1,186.2502674,2021,Household Steel Items,Other
INNSA1,2021-04-27,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND - RYX-02-020 (QTY :1232 NUM USD 14.20 PER NUM),MILD,STEEL MULTI FUNCTION CLOTH STAND - RYX-02-020,MILD,,#N/A,#N/A,14.20,#N/A,4004,KGS ,417.2141484,1670525.45,5.478846334,21937.30072,612080.5,422.6929947,2021,Household Steel Items,Cloth Stand
INNSA1,2021-04-27,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND - RYX-02-021A(QTY :10368 NUM USD 8.85 PER NUM),MILD,STEEL MULTI FUNCTION CLOTH STAND - RYX-02-021A,MILD,,#N/A,#N/A,8.85,#N/A,38016,KGS ,230.4760467,8761777.39,3.026605997,115059.4536,3210315.2,233.5026527,2021,Household Steel Items,Cloth Stand
INNSA1,2021-04-25,0301049751,73239990,STEEL TEA STRAINER NP-55 (QTY:50400 PCS USD 0.3195 PER PCS),,TEA STRAINER NP-55,STEEL,50400,#N/A,#N/A,0.3195,#N/A,2310,KGS ,576.3194719,1331297.98,7.568213682,17482.5736,487787.6,583.8876855,2021,Household Steel Items,Tea Strainer
INNSA1,2021-04-22,0301049751,73231000,SS SCRUBBER 3 PCS SET - SS410 (QTY- 124560 SET/USD 0.182 PER SET),SS,SCRUBBER 3 PCS SET - SS410,SS,,#VALUE!,SET,0.182,SET,7785,KGS ,253.1019152,1970398.41,3.323728368,25875.22534,866187.2,256.4256436,2021,Steel Scrubbers,Scrubber
INNSA1,2021-04-21,0301049751,73239990,FAMILY CLOTH RACK 3 LAYERS 03-027I (MADE UP OF MILD STEEL)(QTY:1824 PCS/ CNY 79.00 PER PCS),,CLOTH RACK 3 LAYERS 03-027I (MADE UP OF MILD STEEL),MADE UP OF MILD STEEL,1824,1824,PCS, ,PCS,10488,KGS ,184.0180339,1929981.14,2.416520472,25344.46671,707145,186.4345544,2021,Household Steel Items,Other
INNSA1,2021-04-10,0301049751,73239990,STEEL SALT BOTTLE - NP-19 (QTY- 24144 PCS/USD 0.4938 PER PCS),,SALT BOTTLE - NP-19,STEEL,,#VALUE!,PCS,0.4938,PCS,3772.5,KGS ,254.5175374,960167.41,3.432468475,12948.98732,351805.3,257.9500059,2021,Household Steel Items,Other
INNSA1,2021-04-10,0301049751,73239990,STEEL ZHARA - NP-003 (QTY: 36000 PCS/USD 0.4520 PER PCS),,ZHARA - NP-003,STEEL,,36000,PCS,0.4520,PCS,3360,KGS ,390.0211518,1310471.07,5.259894158,17673.24437,480156.6,395.2810459,2021,Household Steel Items,Other
INNSA1,2021-04-09,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND - RYX-02-021A(QTY :9072 NUM USD 8.85 PER NUM),MILD,STEEL MULTI FUNCTION CLOTH STAND - RYX-02-021A,MILD,,#N/A,#N/A,8.85,#N/A,33264,KGS ,226.6023232,7537699.68,3.055998965,101654.7496,2761813.1,229.6583222,2021,Household Steel Items,Cloth Stand
INNSA1,2021-04-09,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND - RYX-02-020 (QTY :1232 NUM USD 14.20 PER NUM),MILD,STEEL MULTI FUNCTION CLOTH STAND - RYX-02-020,MILD,,#N/A,#N/A,14.20,#N/A,4004,KGS ,410.2018257,1642448.11,5.532054291,22150.34538,601793,415.73388,2021,Household Steel Items,Cloth Stand
INNSA1,2021-04-09,0301049751,73239990,STEEL TEA STRAINER BIG SB-12 (QTY:20040 PCS USD 1.20160 PER PCS),,TEA STRAINER BIG SB-12,STEEL,20040,#N/A,#N/A,1.20160,#N/A,4759.5,KGS ,420.3973169,2000881.03,5.669552487,26984.23506,733122.8,426.0668694,2021,Household Steel Items,Tea Strainer
